coverage	n
1	361
2	21
3	38
4	35
5	30
6	32
7	38
8	15
9	23
10	64
11	60
12	38
13	144
14	49
15	62
16	90
17	102
18	36
19	83
20	51
21	63
22	68
23	91
24	112
25	154
26	154
27	179
28	186
29	197
30	165
31	224
32	252
33	276
34	285
35	405
36	585
37	697
38	797
39	1117
40	1294
41	1591
42	1832
43	2265
44	3002
45	3975
46	5067
47	6730
48	8136
49	10449
50	12788
51	15446
52	18888
53	23047
54	27394
55	32197
56	37956
57	44569
58	52232
59	59097
60	66625
61	74597
62	82379
63	91238
64	100530
65	109371
66	116527
67	126153
68	133902
69	141758
70	148211
71	153026
72	157794
73	160256
74	162685
75	161793
76	161557
77	161870
78	159944
79	157844
80	153701
81	148702
82	142630
83	137108
84	130695
85	123357
86	115895
87	106997
88	98477
89	91977
90	83540
91	75506
92	68764
93	62048
94	55381
95	49551
96	44233
97	38787
98	33885
99	29603
100	25495
101	22306
102	19377
103	16504
104	13858
105	12140
106	10309
107	8958
108	7254
109	6088
110	5078
111	4180
112	3281
113	2672
114	2271
115	1807
116	1420
117	1164
118	820
119	672
120	575
121	446
122	366
123	331
124	206
125	174
126	98
127	79
128	67
129	65
130	75
131	58
132	51
133	42
134	53
135	35
136	29
137	30
138	22
139	15
140	14
141	11
142	11
143	10
144	4
145	11
146	6
147	9
148	8
149	18
150	12
151	18
152	28
153	37
154	21
155	29
156	34
157	24
158	17
159	17
160	17
161	23
162	25
163	21
164	26
165	19
166	13
167	20
168	19
169	26
170	20
171	6
172	18
173	13
174	10
175	6
176	7
177	6
178	7
179	4
180	4
181	5
182	1
183	5
184	4
185	2
186	5
187	9
188	5
189	10
190	12
191	12
192	7
193	3
194	2
195	2
196	6
197	5
198	4
199	2
200	10
201	8
202	5
203	5
204	7
205	5
206	17
207	7
208	8
209	2
210	3
211	1
212	3
213	12
214	14
215	7
216	4
217	5
218	4
219	11
220	5
221	7
222	9
223	8
224	9
225	7
226	18
227	10
228	4
229	12
230	3
231	0
232	2
233	0
234	2
235	1
236	0
237	1
238	3
239	1
240	1
241	0
242	1
243	1
244	0
245	0
246	1
247	3
248	0
249	0
250	3
251	0
252	0
253	1
254	2
255	1
