coverage	n
1	1105125
2	921591
3	410187
4	221392
5	86528
6	37589
7	14606
8	6060
9	1959
10	680
11	377
12	341
13	135
14	229
15	82
16	78
17	29
18	37
19	59
20	89
21	52
22	28
23	12
24	12
25	3
26	83
27	6
28	3
29	19
30	3
31	2
32	4
33	20
34	5
35	8
36	7
37	64
38	6
39	2
40	7
41	38
42	10
43	36
44	3
45	3
46	3
47	11
48	1
49	0
50	0
51	12
52	3
53	3
54	0
55	4
56	12
57	1
58	0
59	1
60	3
61	2
62	5
63	9
64	5
65	2
66	4
67	13
68	18
69	6
70	1
71	2
72	0
73	3
74	1
75	4
76	4
77	2
78	2
79	3
80	2
81	12
82	11
83	3
84	9
85	2
86	2
87	6
88	1
89	14
90	1
91	2
92	2
93	7
94	8
95	2
96	16
97	4
98	16
99	5
100	24
101	5
102	21
103	3
104	1
105	10
106	9
107	15
108	26
109	23
110	1
111	14
112	33
113	1
