coverage	n
1	5674
2	3841
3	605
4	874
5	454
6	333
7	301
8	636
9	540
10	682
11	536
12	610
13	524
14	528
15	497
16	923
17	308
18	397
19	599
20	399
21	652
22	362
23	477
24	492
25	474
26	358
27	651
28	436
29	465
30	514
31	580
32	448
33	567
34	496
35	393
36	441
37	517
38	551
39	514
40	465
41	541
42	493
43	478
44	433
45	587
46	580
47	643
48	566
49	637
50	603
51	471
52	656
53	668
54	677
55	661
56	823
57	775
58	845
59	920
60	873
61	1106
62	1000
63	1101
64	1346
65	1458
66	1507
67	1768
68	1856
69	2069
70	2373
71	2547
72	3001
73	3505
74	4271
75	4945
76	5865
77	6911
78	8215
79	9309
80	11123
81	12965
82	14991
83	16885
84	19384
85	21773
86	24716
87	28277
88	31947
89	36302
90	40886
91	45896
92	50456
93	55269
94	60570
95	66230
96	71487
97	76930
98	81377
99	87801
100	92774
101	97602
102	102871
103	107071
104	111486
105	116092
106	119501
107	120123
108	122033
109	124235
110	124508
111	125928
112	124853
113	124464
114	122799
115	120443
116	118612
117	115947
118	113294
119	109056
120	104782
121	101706
122	97093
123	92261
124	87066
125	82638
126	77222
127	71597
128	66834
129	61830
130	57341
131	53659
132	49136
133	44554
134	40318
135	37171
136	33583
137	29956
138	27114
139	24153
140	21351
141	18756
142	16552
143	14763
144	12756
145	11164
146	10289
147	8668
148	7577
149	6581
150	5661
151	4793
152	4154
153	3396
154	2834
155	2303
156	1995
157	1654
158	1430
159	1231
160	1010
161	780
162	637
163	512
164	448
165	366
166	309
167	244
168	174
169	152
170	121
171	100
172	79
173	70
174	53
175	48
176	40
177	30
178	23
179	19
180	25
181	12
182	18
183	9
184	12
185	16
186	13
187	15
188	12
189	12
190	13
191	17
192	15
193	20
194	19
195	17
196	19
197	12
198	14
199	22
200	11
201	18
202	18
203	17
204	15
205	19
206	20
207	21
208	32
209	27
210	35
211	37
212	50
213	37
214	50
215	40
216	41
217	36
218	52
219	59
220	63
221	72
222	55
223	59
224	55
225	69
226	50
227	58
228	52
229	47
230	48
231	45
232	44
233	39
234	47
235	30
236	40
237	25
238	33
239	28
240	21
241	13
242	20
243	24
244	10
245	12
246	10
247	12
248	12
249	9
250	12
251	8
252	0
253	7
254	2
255	6
256	2
257	2
258	1
259	4
260	0
261	0
262	0
263	1
264	0
265	2
266	0
267	0
268	0
269	0
270	1
271	4
272	5
273	4
274	3
275	3
276	3
277	1
278	2
279	0
280	1
281	0
282	0
283	1
284	1
