coverage	n
1	1133
2	754
3	789
4	1048
5	604
6	616
7	628
8	614
9	724
10	765
11	870
12	938
13	847
14	686
15	722
16	1033
17	568
18	650
19	718
20	629
21	859
22	834
23	839
24	870
25	1134
26	1040
27	1139
28	1230
29	1492
30	1702
31	1944
32	2177
33	2753
34	3226
35	4257
36	5397
37	6421
38	8327
39	10226
40	12012
41	15188
42	18691
43	22561
44	27107
45	33351
46	39197
47	46561
48	54744
49	63505
50	74314
51	84152
52	94121
53	104583
54	115460
55	124956
56	134987
57	142609
58	150024
59	156209
60	162060
61	165059
62	168077
63	169677
64	170067
65	168441
66	164895
67	161666
68	156115
69	149982
70	142362
71	134870
72	125194
73	117625
74	108146
75	99522
76	88935
77	80620
78	72282
79	64550
80	56681
81	50060
82	43889
83	38126
84	33410
85	28328
86	23987
87	20298
88	17493
89	14789
90	12177
91	10135
92	8248
93	6814
94	5587
95	4448
96	3336
97	2651
98	2083
99	1724
100	1347
101	1107
102	854
103	647
104	576
105	412
106	374
107	288
108	246
109	209
110	181
111	157
112	134
113	106
114	120
115	98
116	100
117	107
118	108
119	118
120	108
121	122
122	123
123	133
124	153
125	147
126	146
127	102
128	105
129	117
130	121
131	137
132	99
133	94
134	87
135	86
136	73
137	75
138	78
139	77
140	72
141	71
142	76
143	55
144	57
145	59
146	31
147	42
148	38
149	30
150	15
151	17
152	24
153	13
154	10
155	7
156	11
157	12
158	12
159	12
160	9
161	11
162	13
163	14
164	16
165	17
166	8
167	7
168	7
169	14
170	22
171	13
172	7
173	13
174	6
175	1
176	6
177	6
178	2
179	7
180	6
181	4
182	3
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	3
196	0
197	0
198	0
199	0
200	1
