coverage	n
1	5591
2	3715
3	453
4	368
5	408
6	561
7	409
8	590
9	494
10	464
11	483
12	575
13	484
14	627
15	664
16	826
17	599
18	869
19	752
20	861
21	954
22	1097
23	1133
24	1405
25	1488
26	1423
27	1798
28	1737
29	2013
30	2270
31	2862
32	2673
33	3114
34	3379
35	3737
36	3694
37	4223
38	4694
39	5102
40	5437
41	5976
42	6348
43	7037
44	7358
45	8085
46	8458
47	9113
48	9678
49	10177
50	11064
51	11349
52	11998
53	12505
54	13356
55	14204
56	14787
57	15329
58	16184
59	17059
60	17490
61	18305
62	18836
63	19848
64	20099
65	20413
66	21001
67	22551
68	22744
69	23242
70	23905
71	24398
72	25206
73	25988
74	26466
75	27181
76	28186
77	28647
78	29555
79	30028
80	29973
81	30887
82	30539
83	31562
84	31415
85	32665
86	32753
87	33510
88	34099
89	34684
90	34703
91	35261
92	35531
93	35978
94	36260
95	36391
96	36102
97	37214
98	36371
99	36988
100	36777
101	37589
102	36932
103	37017
104	37158
105	37536
106	37593
107	37468
108	38069
109	38195
110	37582
111	37532
112	37886
113	37245
114	36551
115	37019
116	36527
117	36997
118	36231
119	36659
120	36160
121	35420
122	35313
123	35126
124	34489
125	34221
126	34406
127	34387
128	33363
129	33837
130	33048
131	33415
132	33035
133	32737
134	32026
135	31721
136	31588
137	31359
138	31213
139	31110
140	30717
141	29971
142	29799
143	29938
144	29110
145	28977
146	28473
147	28048
148	27809
149	27505
150	27035
151	26296
152	25941
153	25790
154	25332
155	24943
156	24177
157	23916
158	23626
159	22928
160	22858
161	22124
162	22215
163	21765
164	21382
165	20710
166	20647
167	20127
168	19779
169	19195
170	18691
171	18061
172	17985
173	17910
174	17864
175	17223
176	17011
177	16596
178	16524
179	15977
180	15664
181	15789
182	15314
183	15176
184	14896
185	14139
186	14173
187	13627
188	13252
189	13185
190	12969
191	12534
192	12397
193	11980
194	11929
195	11646
196	11234
197	11094
198	10596
199	10425
200	10242
201	9814
202	9720
203	9794
204	9276
205	9116
206	8836
207	8834
208	8307
209	8363
210	7828
211	7766
212	7632
213	7418
214	7440
215	7126
216	6997
217	6761
218	6715
219	6334
220	6135
221	6167
222	5961
223	5926
224	5558
225	5617
226	5373
227	5369
228	5204
229	5084
230	4922
231	4855
232	4848
233	4723
234	4530
235	4483
236	4150
237	4236
238	3986
239	4017
240	3588
241	3499
242	3349
243	3293
244	3255
245	3190
246	3299
247	3177
248	3057
249	3014
250	2894
251	2775
252	2754
253	2778
254	2655
255	2499
256	2460
257	2467
258	2503
259	2453
260	2213
261	2120
262	2155
263	1983
264	1965
265	1831
266	1801
267	1748
268	1753
269	1775
270	1734
271	1620
272	1663
273	1554
274	1387
275	1327
276	1270
277	1351
278	1240
279	1219
280	1220
281	1200
282	1255
283	1151
284	1257
285	1097
286	1155
287	1140
288	1112
289	1084
290	1038
291	1032
292	975
293	1001
294	929
295	922
296	891
297	964
298	895
299	843
300	858
301	855
302	818
303	746
304	766
305	715
306	688
307	683
308	614
309	652
310	633
311	672
312	648
313	606
314	567
315	505
316	518
317	493
318	542
319	491
320	499
321	447
322	485
323	426
324	440
325	405
326	414
327	439
328	410
329	427
330	362
331	328
332	342
333	368
334	333
335	303
336	332
337	317
338	272
339	317
340	346
341	285
342	296
343	304
344	319
345	229
346	288
347	275
348	278
349	297
350	262
351	241
352	259
353	251
354	245
355	204
356	210
357	180
358	211
359	165
360	206
361	183
362	180
363	198
364	157
365	188
366	141
367	164
368	172
369	161
370	150
371	162
372	189
373	153
374	153
375	152
376	145
377	120
378	115
379	115
380	119
381	108
382	157
383	131
384	129
385	134
386	135
387	105
388	132
389	128
390	123
391	102
392	100
393	128
394	122
395	111
396	122
397	109
398	117
399	96
400	133
401	94
402	92
403	88
404	100
405	99
406	81
407	107
408	109
409	80
410	81
411	78
412	74
413	89
414	53
415	73
416	53
417	58
418	63
419	73
420	90
421	53
422	66
423	51
424	58
425	61
426	70
427	61
428	64
429	61
430	50
431	62
432	55
433	47
434	50
435	51
436	41
437	44
438	48
439	56
440	58
441	42
442	44
443	53
444	36
445	43
446	38
447	30
448	49
449	37
450	43
451	38
452	48
453	35
454	32
455	42
456	30
457	34
458	40
459	33
460	40
461	44
462	39
463	28
464	27
465	15
466	30
467	29
468	32
469	21
470	20
471	34
472	17
473	25
474	19
475	21
476	19
477	19
478	9
479	19
480	16
481	22
482	12
483	13
484	13
485	16
486	20
487	11
488	12
489	12
490	10
491	7
492	11
493	11
494	16
495	8
496	9
497	16
498	10
499	9
500	12
501	13
502	9
503	9
504	12
505	8
506	5
507	2
508	5
509	11
510	2
511	5
512	12
513	5
514	12
515	6
516	6
517	12
518	5
519	9
520	9
521	7
522	9
523	6
524	8
525	7
526	12
527	10
528	13
529	14
530	5
531	2
532	5
533	1
534	1
535	1
536	2
537	2
538	1
539	0
540	1
541	0
542	1
543	3
544	4
545	4
546	2
547	0
548	1
549	0
550	1
551	3
552	3
553	0
554	4
555	2
556	1
557	2
558	4
559	0
560	2
561	1
562	1
563	1
564	1
565	2
566	1
567	2
568	0
569	1
570	3
571	2
572	0
573	3
574	0
575	0
576	2
577	0
578	1
579	3
580	1
581	2
582	0
583	0
584	3
585	0
586	0
587	0
588	1
589	1
590	1
591	2
592	1
593	0
594	1
595	0
596	3
597	0
598	1
599	2
600	2
601	2
602	4
603	0
604	2
605	1
606	2
607	1
608	0
609	0
610	1
611	2
612	1
613	0
614	0
615	4
616	1
617	4
618	4
619	1
620	1
621	2
622	3
623	2
624	0
625	0
626	0
627	0
628	0
629	2
630	0
631	2
632	3
633	4
634	2
635	3
636	0
637	2
638	2
639	5
640	1
641	5
642	3
643	2
644	2
645	1
646	1
647	2
648	0
649	0
650	0
651	1
652	0
653	1
654	2
655	0
656	1
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	1
665	2
666	0
667	0
668	0
669	2
670	2
671	1
672	2
673	1
674	1
675	3
676	1
677	2
678	0
679	2
680	1
681	4
682	2
683	6
684	3
685	0
686	7
687	1
688	2
689	2
690	0
691	0
692	0
693	0
694	1
695	0
696	1
697	0
698	0
699	1
700	2
701	0
702	0
703	0
704	0
705	0
706	1
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	1
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	1
727	0
728	1
