coverage	n
1	642
2	1781
3	126
4	223
5	291
6	360
7	222
8	316
9	304
10	242
11	454
12	280
13	268
14	367
15	424
16	394
17	330
18	399
19	423
20	385
21	409
22	484
23	395
24	481
25	652
26	619
27	610
28	604
29	854
30	810
31	987
32	1063
33	1165
34	1277
35	1573
36	1805
37	2101
38	2603
39	3277
40	3893
41	4749
42	6232
43	7548
44	9618
45	11646
46	15180
47	18163
48	22006
49	26295
50	30758
51	36173
52	42465
53	49736
54	57081
55	65570
56	73486
57	82472
58	91205
59	99699
60	108957
61	117484
62	125798
63	133112
64	140307
65	146009
66	149916
67	152557
68	154475
69	155902
70	155343
71	154104
72	150991
73	148792
74	145492
75	139385
76	134788
77	128170
78	121890
79	113951
80	106183
81	98580
82	89385
83	81861
84	74094
85	67459
86	59834
87	52488
88	46961
89	41064
90	35886
91	31046
92	27315
93	23543
94	19938
95	16768
96	14705
97	12449
98	10275
99	8682
100	7307
101	6139
102	4954
103	4072
104	3415
105	2787
106	2362
107	1846
108	1482
109	1249
110	1018
111	787
112	680
113	554
114	416
115	294
116	229
117	211
118	150
119	115
120	80
121	77
122	62
123	57
124	42
125	30
126	38
127	36
128	42
129	26
130	44
131	44
132	44
133	42
134	30
135	52
136	50
137	40
138	55
139	45
140	19
141	44
142	27
143	29
144	21
145	20
146	26
147	25
148	35
149	32
150	43
151	25
152	17
153	18
154	11
155	10
156	4
157	2
158	3
159	5
160	2
161	3
162	8
163	3
164	10
165	3
166	1
167	2
168	3
169	0
170	1
171	0
172	2
173	0
174	1
175	0
176	2
177	2
178	2
179	1
180	1
181	0
182	1
183	0
184	2
185	0
186	1
187	0
188	0
189	1
190	2
191	3
192	8
193	1
