coverage	n
1	781
2	560
3	130
4	507
5	313
6	472
7	257
8	218
9	257
10	314
11	529
12	437
13	425
14	323
15	334
16	325
17	341
18	267
19	480
20	407
21	345
22	361
23	329
24	239
25	300
26	476
27	297
28	345
29	232
30	322
31	274
32	263
33	292
34	352
35	359
36	289
37	501
38	305
39	334
40	358
41	340
42	346
43	345
44	302
45	546
46	408
47	361
48	364
49	380
50	439
51	468
52	413
53	374
54	497
55	399
56	387
57	441
58	455
59	511
60	421
61	491
62	415
63	480
64	480
65	507
66	545
67	515
68	580
69	667
70	763
71	872
72	862
73	899
74	876
75	1048
76	1053
77	1184
78	1374
79	1361
80	1631
81	1661
82	1887
83	2042
84	2358
85	2606
86	2816
87	2962
88	3518
89	3789
90	4089
91	4583
92	5142
93	5798
94	6438
95	7239
96	7958
97	8763
98	9831
99	11016
100	12564
101	13908
102	15522
103	17655
104	19022
105	21649
106	23858
107	25741
108	28412
109	31521
110	34464
111	37615
112	41381
113	45667
114	49203
115	52912
116	56759
117	61555
118	65849
119	70492
120	74779
121	78970
122	82207
123	85878
124	89412
125	93933
126	96843
127	100097
128	102566
129	105796
130	107780
131	109080
132	110228
133	111624
134	111648
135	112300
136	110633
137	109788
138	108500
139	107234
140	104525
141	102033
142	100436
143	98264
144	95605
145	91222
146	88190
147	84482
148	80264
149	76699
150	72603
151	68215
152	64032
153	60064
154	56229
155	52588
156	47886
157	44591
158	41449
159	38055
160	35035
161	31997
162	29273
163	26704
164	23753
165	21552
166	19405
167	17266
168	15178
169	13513
170	12068
171	10681
172	9596
173	8404
174	7463
175	6631
176	5636
177	4963
178	4430
179	3751
180	3240
181	2833
182	2450
183	2120
184	1905
185	1525
186	1349
187	1133
188	949
189	740
190	646
191	540
192	442
193	427
194	320
195	254
196	289
197	252
198	218
199	148
200	133
201	119
202	100
203	71
204	53
205	52
206	43
207	44
208	51
209	34
210	23
211	32
212	19
213	26
214	26
215	25
216	18
217	21
218	17
219	32
220	17
221	30
222	16
223	21
224	19
225	25
226	18
227	23
228	39
229	33
230	31
231	30
232	23
233	15
234	21
235	55
236	28
237	36
238	25
239	38
240	39
241	37
242	44
243	43
244	41
245	43
246	31
247	48
248	33
249	33
250	26
251	52
252	31
253	32
254	46
255	24
256	51
257	23
258	47
259	33
260	51
261	32
262	18
263	29
264	36
265	39
266	24
267	53
268	61
269	34
270	32
271	37
272	45
273	40
274	43
275	53
276	47
277	40
278	31
279	32
280	34
281	41
282	22
283	26
284	37
285	25
286	22
287	24
288	47
289	27
290	17
291	27
292	26
293	42
294	26
295	30
296	22
297	29
298	27
299	31
300	34
301	47
302	32
303	20
304	23
305	31
306	29
307	21
308	26
309	20
310	14
311	22
312	23
313	13
314	23
315	20
316	17
317	11
318	18
319	10
320	14
321	9
322	4
323	10
324	10
325	7
326	11
327	14
328	10
329	6
330	16
331	5
332	9
333	8
334	20
335	14
336	13
337	7
338	16
339	12
340	12
341	10
342	5
343	4
344	8
345	7
346	4
347	3
348	0
349	14
350	2
351	1
352	2
353	5
354	1
355	2
356	2
357	3
358	4
359	3
360	2
361	3
362	4
363	3
364	5
365	8
366	5
367	4
368	4
369	3
370	2
371	3
372	1
373	7
374	3
375	2
376	1
377	2
378	3
379	2
380	2
381	2
382	2
383	3
384	4
385	3
386	3
387	3
388	9
389	8
390	0
391	13
392	8
393	8
394	7
395	3
396	2
397	4
398	4
399	3
400	4
401	3
402	5
403	3
404	3
405	6
406	0
407	3
408	2
409	1
410	0
411	0
412	1
413	1
414	0
415	0
416	0
417	0
418	0
419	0
420	2
421	0
422	1
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	1
510	0
511	0
512	1
513	1
514	0
515	1
516	0
517	1
518	0
519	0
520	0
521	0
522	0
523	1
524	0
525	0
526	0
527	1
