coverage	n
1	2378
2	2471
3	455
4	476
5	476
6	659
7	709
8	307
9	521
10	447
11	636
12	523
13	680
14	397
15	546
16	450
17	470
18	391
19	611
20	653
21	455
22	416
23	519
24	503
25	524
26	667
27	626
28	727
29	875
30	979
31	1149
32	1202
33	1665
34	1980
35	2412
36	2896
37	3912
38	4620
39	6158
40	7803
41	10269
42	13334
43	16703
44	20403
45	24775
46	30378
47	36067
48	42010
49	49716
50	57019
51	65943
52	74189
53	83797
54	92757
55	104365
56	113809
57	124324
58	131977
59	142567
60	147731
61	155983
62	160958
63	165748
64	168178
65	170740
66	170764
67	168962
68	166070
69	162110
70	157980
71	150688
72	144115
73	135186
74	126620
75	117718
76	107729
77	99649
78	90602
79	81959
80	73365
81	65888
82	57953
83	50785
84	43961
85	38493
86	33296
87	28550
88	24367
89	20318
90	17259
91	14661
92	12307
93	10045
94	8356
95	6721
96	5343
97	4314
98	3482
99	2658
100	2124
101	1724
102	1321
103	996
104	862
105	626
106	554
107	429
108	428
109	302
110	280
111	258
112	273
113	233
114	235
115	205
116	175
117	158
118	164
119	117
120	136
121	145
122	175
123	157
124	137
125	142
126	131
127	156
128	159
129	163
130	121
131	150
132	162
133	114
134	102
135	120
136	147
137	113
138	117
139	103
140	94
141	65
142	55
143	74
144	52
145	96
146	96
147	107
148	87
149	81
150	76
151	73
152	73
153	73
154	72
155	51
156	57
157	44
158	26
159	41
160	32
161	29
162	24
163	25
164	19
165	18
166	18
167	25
168	22
169	15
170	23
171	20
172	20
173	20
174	10
175	10
176	15
177	13
178	11
179	11
180	10
181	5
182	17
183	10
184	4
185	7
186	0
187	4
188	2
189	14
190	6
191	10
192	36
193	6
194	23
