coverage	n
1	1184
2	910
3	475
4	646
5	558
6	496
7	637
8	1087
9	640
10	596
11	841
12	556
13	588
14	535
15	732
16	459
17	497
18	594
19	515
20	569
21	596
22	634
23	627
24	480
25	569
26	527
27	645
28	655
29	520
30	717
31	552
32	556
33	610
34	628
35	722
36	746
37	655
38	774
39	770
40	886
41	752
42	892
43	982
44	974
45	1001
46	1099
47	1193
48	1304
49	1543
50	1546
51	1764
52	1957
53	2279
54	2752
55	3230
56	4039
57	4668
58	5222
59	6537
60	7905
61	9067
62	11234
63	13170
64	15642
65	18618
66	21330
67	24505
68	28858
69	33004
70	37407
71	42939
72	48765
73	54904
74	60317
75	66618
76	72506
77	80333
78	87556
79	93585
80	100631
81	107859
82	112647
83	118707
84	124240
85	128401
86	132264
87	134863
88	137578
89	137578
90	140110
91	140299
92	140182
93	138338
94	135664
95	132932
96	129181
97	123635
98	119223
99	114084
100	109189
101	103715
102	98076
103	91604
104	85069
105	79362
106	72971
107	66616
108	60532
109	55160
110	49826
111	44697
112	39990
113	35294
114	31549
115	27906
116	24517
117	21116
118	18699
119	16165
120	14254
121	11980
122	10312
123	8748
124	7411
125	6189
126	5376
127	4512
128	3734
129	3240
130	2721
131	2217
132	1751
133	1457
134	1272
135	1077
136	840
137	675
138	575
139	471
140	361
141	314
142	240
143	209
144	217
145	191
146	147
147	90
148	98
149	73
150	62
151	41
152	69
153	68
154	45
155	48
156	46
157	27
158	31
159	33
160	21
161	17
162	20
163	23
164	35
165	23
166	36
167	31
168	35
169	25
170	40
171	37
172	40
173	49
174	64
175	60
176	72
177	57
178	29
179	40
180	43
181	45
182	43
183	18
184	25
185	22
186	36
187	36
188	32
189	27
190	35
191	43
192	37
193	23
194	32
195	28
196	40
197	22
198	11
199	18
200	14
201	19
202	19
203	20
204	19
205	17
206	14
207	6
208	1
209	4
210	2
211	2
212	2
213	2
214	1
215	1
216	4
217	2
218	1
219	6
220	1
221	0
222	1
