coverage	n
1	314
2	7
3	6
4	7
5	16
6	43
7	62
8	97
9	138
10	148
11	155
12	175
13	224
14	238
15	259
16	289
17	295
18	260
19	252
20	334
21	327
22	325
23	384
24	417
25	404
26	444
27	469
28	611
29	754
30	847
31	1100
32	1336
33	1592
34	2080
35	2358
36	3087
37	3802
38	4674
39	6407
40	7853
41	9556
42	12304
43	15003
44	18782
45	23671
46	29274
47	35618
48	42337
49	48815
50	58064
51	66327
52	76150
53	86134
54	96617
55	107222
56	116788
57	127662
58	139187
59	148072
60	155835
61	164223
62	170810
63	176040
64	179116
65	181840
66	181718
67	181876
68	179022
69	175601
70	170042
71	163668
72	157400
73	149760
74	140934
75	131013
76	122081
77	112323
78	103483
79	93687
80	84913
81	76545
82	68632
83	60983
84	53156
85	47408
86	40971
87	35374
88	29963
89	25740
90	21520
91	17890
92	14630
93	12416
94	10273
95	8270
96	6949
97	5621
98	4661
99	3682
100	3061
101	2390
102	1846
103	1602
104	1081
105	896
106	694
107	543
108	429
109	359
110	249
111	171
112	137
113	93
114	78
115	68
116	46
117	31
118	34
119	32
120	25
121	10
122	9
123	5
124	1
125	10
126	6
127	5
128	5
129	9
130	17
131	1
132	4
133	2
134	1
135	4
136	2
137	2
138	3
139	0
140	2
141	7
142	5
143	2
144	3
145	8
146	3
147	4
148	3
149	3
150	7
151	6
152	5
153	0
154	1
155	1
156	5
157	7
158	2
159	8
160	2
161	3
162	4
163	1
164	1
165	3
166	3
167	3
168	0
169	8
170	7
171	2
172	2
173	3
174	9
175	5
176	0
177	6
178	3
179	1
