coverage	n
1	4
2	2
3	1
4	2
5	0
6	15
7	5
8	9
9	64
10	5
11	1
12	3
13	1
14	13
15	14
16	17
17	9
18	8
19	22
20	6
21	94
22	28
23	4
24	47
25	3
26	8
27	5
28	3
29	7
30	5
31	7
32	2
33	9
34	46
35	50
36	3
37	13
38	0
39	27
40	29
41	1
42	7
43	5
44	5
45	54
46	30
47	3
48	9
49	15
50	5
51	22
52	16
53	11
54	10
55	10
56	31
57	15
58	15
59	16
60	10
61	14
62	6
63	17
64	8
65	20
66	25
67	18
68	96
69	14
70	8
71	15
72	15
73	25
74	12
75	8
76	21
77	23
78	6
79	14
80	43
81	30
82	25
83	14
84	25
85	43
86	34
87	15
88	34
89	33
90	26
91	37
92	27
93	24
94	39
95	37
96	31
97	44
98	34
99	23
100	42
101	16
102	26
103	33
104	35
105	26
106	21
107	40
108	43
109	38
110	64
111	29
112	36
113	33
114	38
115	47
116	53
117	55
118	27
119	55
120	36
121	72
122	53
123	53
124	66
125	51
126	70
127	65
128	63
129	47
130	64
131	64
132	60
133	62
134	57
135	61
136	62
137	36
138	35
139	50
140	47
141	44
142	41
143	40
144	60
145	53
146	62
147	68
148	61
149	60
150	56
151	58
152	49
153	64
154	68
155	66
156	71
157	63
158	61
159	73
160	76
161	51
162	55
163	80
164	66
165	46
166	76
167	73
168	68
169	104
170	88
171	84
172	83
173	81
174	81
175	79
176	80
177	81
178	86
179	75
180	107
181	81
182	67
183	92
184	79
185	73
186	69
187	42
188	38
189	35
190	22
191	22
192	34
193	42
194	39
195	58
196	51
197	39
198	33
199	56
200	33
201	40
202	34
203	37
204	38
205	36
206	31
207	23
208	21
209	24
210	20
211	23
212	23
213	20
214	14
215	14
216	17
217	17
218	12
219	8
220	14
221	14
222	14
223	11
224	19
225	10
226	2
227	3
228	1
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	1
270	0
271	0
272	1
273	1
274	1
275	1
276	0
277	0
278	1
279	0
280	1
281	0
282	0
283	1
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	1
368	0
369	0
370	0
371	2
