coverage	n
1	597
2	203
3	82
4	71
5	74
6	65
7	37
8	161
9	79
10	72
11	81
12	93
13	90
14	132
15	111
16	84
17	153
18	132
19	139
20	202
21	232
22	241
23	240
24	280
25	285
26	312
27	273
28	346
29	414
30	494
31	589
32	666
33	884
34	1221
35	1530
36	1556
37	2243
38	2938
39	3476
40	4255
41	5536
42	7039
43	9114
44	10992
45	13546
46	16530
47	20420
48	25005
49	30314
50	35965
51	42700
52	49570
53	56795
54	65478
55	74177
56	83523
57	93886
58	103101
59	112520
60	123300
61	131928
62	141830
63	150901
64	158897
65	164537
66	170789
67	174312
68	177245
69	177143
70	177329
71	175499
72	172172
73	166443
74	160318
75	153270
76	145627
77	137482
78	128912
79	118702
80	110540
81	101214
82	92254
83	84421
84	75993
85	67747
86	60372
87	53557
88	47781
89	42039
90	37068
91	32278
92	27665
93	23726
94	19824
95	16746
96	13962
97	11924
98	9942
99	8216
100	6694
101	5613
102	4291
103	3451
104	2828
105	2193
106	1738
107	1397
108	1162
109	912
110	742
111	541
112	447
113	373
114	303
115	259
116	173
117	146
118	119
119	63
120	47
121	34
122	39
123	28
124	20
125	11
126	5
127	3
128	0
129	1
130	2
131	2
132	7
133	7
134	10
135	5
136	5
137	2
138	0
139	4
140	1
141	5
142	4
143	13
144	10
145	3
146	1
