coverage	n
1	10943
2	8292
3	682
4	457
5	464
6	546
7	343
8	563
9	466
10	326
11	520
12	515
13	326
14	428
15	456
16	527
17	452
18	534
19	489
20	667
21	652
22	704
23	765
24	745
25	903
26	1068
27	950
28	1137
29	1457
30	1985
31	2378
32	3442
33	4531
34	5337
35	7197
36	9540
37	12444
38	16237
39	20626
40	24765
41	30922
42	38467
43	46226
44	54918
45	64934
46	76024
47	86752
48	97620
49	109650
50	119435
51	129672
52	139070
53	147710
54	157268
55	164364
56	171400
57	172925
58	175888
59	176324
60	175219
61	171961
62	166739
63	160621
64	154839
65	146645
66	138586
67	129104
68	118084
69	108734
70	99097
71	88341
72	80431
73	72118
74	63133
75	54894
76	47215
77	40643
78	34564
79	29244
80	24506
81	20698
82	16852
83	14074
84	11686
85	9512
86	7690
87	6132
88	4902
89	4008
90	3284
91	2677
92	2099
93	1514
94	1260
95	967
96	705
97	554
98	427
99	334
100	291
101	244
102	152
103	141
104	79
105	76
106	52
107	79
108	71
109	77
110	68
111	49
112	54
113	50
114	38
115	25
116	36
117	35
118	64
119	36
120	40
121	48
122	51
123	65
124	73
125	75
126	70
127	65
128	50
129	66
130	39
131	37
132	39
133	18
134	36
135	23
136	16
137	10
138	9
139	8
140	3
141	1
142	5
143	6
144	12
145	13
146	5
147	12
148	4
149	4
150	1
151	1
152	9
153	5
154	7
155	7
156	3
157	5
158	3
159	3
