coverage	n
1	1047
2	1253
3	286
4	427
5	303
6	698
7	223
8	205
9	415
10	556
11	511
12	420
13	599
14	644
15	439
16	506
17	334
18	531
19	318
20	441
21	499
22	517
23	481
24	459
25	478
26	590
27	484
28	425
29	473
30	453
31	469
32	497
33	373
34	389
35	499
36	422
37	407
38	538
39	492
40	419
41	483
42	663
43	535
44	544
45	529
46	659
47	650
48	716
49	604
50	605
51	651
52	705
53	749
54	735
55	760
56	862
57	895
58	873
59	1008
60	1119
61	1294
62	1303
63	1393
64	1588
65	1679
66	2012
67	2283
68	2496
69	3147
70	3472
71	4144
72	4769
73	5543
74	6634
75	8068
76	9249
77	10845
78	12717
79	14725
80	16895
81	19606
82	23070
83	26182
84	29982
85	34720
86	38758
87	43188
88	48240
89	53534
90	58768
91	64681
92	70577
93	77471
94	82173
95	88082
96	94129
97	99491
98	104513
99	110448
100	114378
101	117415
102	121207
103	122968
104	125670
105	126612
106	128686
107	128649
108	126954
109	125953
110	123972
111	121625
112	117958
113	116023
114	111625
115	107823
116	103370
117	98578
118	93039
119	88821
120	83544
121	78278
122	72297
123	67175
124	62754
125	57328
126	52561
127	48082
128	43756
129	39962
130	35446
131	31891
132	28572
133	25322
134	22937
135	20038
136	17696
137	15505
138	13753
139	11924
140	10346
141	9170
142	8060
143	6825
144	5924
145	5112
146	4233
147	3789
148	3141
149	2541
150	2269
151	1900
152	1741
153	1435
154	1203
155	1028
156	767
157	659
158	576
159	413
160	379
161	320
162	230
163	213
164	175
165	170
166	150
167	134
168	113
169	116
170	97
171	91
172	83
173	83
174	62
175	59
176	68
177	60
178	59
179	65
180	56
181	38
182	50
183	24
184	50
185	43
186	50
187	39
188	36
189	43
190	46
191	72
192	45
193	29
194	55
195	39
196	51
197	40
198	32
199	40
200	43
201	27
202	29
203	25
204	31
205	35
206	26
207	33
208	24
209	31
210	19
211	19
212	14
213	30
214	31
215	30
216	35
217	33
218	45
219	34
220	26
221	27
222	24
223	24
224	23
225	28
226	34
227	30
228	34
229	32
230	23
231	34
232	30
233	26
234	54
235	50
236	37
237	38
238	23
239	42
240	38
241	48
242	41
243	31
244	35
245	56
246	50
247	46
248	44
249	48
250	37
251	27
252	28
253	35
254	31
255	16
256	21
257	20
258	19
259	15
260	22
261	10
262	12
263	13
264	11
265	5
266	8
267	4
268	6
269	4
270	9
271	9
272	8
273	7
274	14
275	6
276	7
277	4
278	14
279	7
280	9
281	13
282	9
283	10
284	9
285	7
286	12
287	8
288	12
289	19
290	19
291	22
292	7
293	18
294	17
295	20
296	12
297	13
298	19
299	29
300	20
301	19
302	21
303	23
304	18
305	18
306	21
307	30
308	40
309	38
310	42
311	46
312	45
313	49
314	55
315	60
316	54
317	49
318	65
319	74
320	73
321	108
322	90
323	76
324	95
325	88
326	87
327	81
328	86
329	82
330	78
331	99
332	101
333	69
334	79
335	73
336	86
337	67
338	81
339	94
340	89
341	83
342	104
343	98
344	108
345	101
346	119
347	117
348	99
349	103
350	119
351	118
352	130
353	116
354	113
355	130
356	121
357	136
358	140
359	134
360	149
361	160
362	151
363	147
364	164
365	164
366	191
367	177
368	182
369	192
370	195
371	221
372	182
373	196
374	189
375	163
376	169
377	170
378	164
379	189
380	175
381	192
382	157
383	166
384	174
385	170
386	142
387	164
388	169
389	156
390	163
391	163
392	132
393	127
394	154
395	146
396	143
397	125
398	129
399	115
400	108
401	114
402	97
403	102
404	104
405	77
406	97
407	87
408	103
409	78
410	92
411	92
412	98
413	85
414	100
415	96
416	86
417	99
418	102
419	76
420	93
421	90
422	54
423	66
424	70
425	64
426	44
427	51
428	56
429	51
430	51
431	97
432	38
433	31
434	49
435	29
436	27
437	16
438	31
439	26
440	22
441	21
442	10
443	11
444	9
445	5
446	5
447	4
448	5
449	2
450	0
451	2
452	2
453	3
454	5
455	3
456	3
457	4
458	3
459	12
460	3
461	2
462	2
463	2
464	1
465	1
466	0
467	1
468	0
469	0
470	0
471	0
472	0
473	1
474	0
475	0
476	0
477	0
478	0
479	1
480	0
481	1
482	0
483	0
484	0
485	0
486	0
487	0
488	1
489	0
490	1
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	3
501	1
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	1
510	1
511	0
512	0
513	0
514	0
515	0
516	0
517	1
518	1
519	1
520	0
521	0
522	1
523	0
524	0
525	0
526	0
527	1
528	0
529	0
530	0
531	1
532	0
533	0
534	0
535	0
536	0
537	0
538	3
539	0
540	0
541	0
542	0
543	0
544	0
545	1
546	1
547	0
548	0
549	1
550	0
551	0
552	0
553	1
554	0
555	0
556	2
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	1
565	1
566	0
567	0
568	3
569	0
570	0
571	0
572	0
573	1
574	13
575	5
576	6
577	0
578	0
579	0
580	0
581	1
582	0
583	0
584	1
585	0
586	0
587	0
588	0
589	1
590	2
591	0
592	0
593	1
594	0
595	1
596	0
597	1
598	0
599	0
600	0
601	0
602	0
603	1
604	1
605	5
606	0
607	1
608	0
609	4
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	1
621	0
622	0
623	0
624	1
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	1
633	1
634	1
635	0
636	1
637	0
638	0
639	2
640	1
641	1
642	0
643	1
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	1
654	2
655	3
656	1
657	0
658	0
659	0
660	0
661	0
662	1
663	1
664	0
665	6
666	1
667	2
668	1
669	3
670	2
671	0
672	0
673	0
674	1
675	0
676	0
677	0
678	0
679	0
680	2
681	1
682	0
683	1
684	3
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	1
693	0
694	0
695	0
696	0
697	0
698	1
699	2
700	6
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	1
710	0
711	1
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	1
721	1
722	0
723	5
724	1
725	0
726	1
727	0
728	0
729	0
730	0
731	0
732	1
733	1
734	0
735	0
736	0
737	0
738	1
739	0
740	0
741	0
742	10
743	3
744	0
745	1
746	0
747	1
748	2
749	4
750	5
751	2
752	1
753	0
754	0
755	0
756	1
757	3
758	0
759	0
760	0
761	0
762	1
763	0
764	0
765	1
766	1
767	2
768	12
769	1
770	0
771	0
772	1
773	1
774	1
775	0
776	0
777	0
778	0
779	0
780	0
781	0
782	0
783	0
784	1
785	0
786	2
787	1
788	0
789	4
790	7
791	11
792	0
793	5
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	1
824	0
825	0
826	0
827	0
828	0
829	3
830	3
831	0
832	0
833	0
834	0
835	0
836	1
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	1
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	1
858	0
859	2
860	0
861	0
862	0
863	0
864	0
865	0
866	0
867	1
868	0
869	0
870	1
871	0
872	0
873	0
874	0
875	0
876	0
877	3
878	0
879	0
880	0
881	0
882	0
883	1
884	0
885	26
886	1
887	0
888	1
889	0
890	0
891	0
892	1
893	0
894	0
895	2
896	1
897	1
898	0
899	0
900	0
901	0
902	1
903	0
904	2
905	0
906	1
907	1
908	1
909	1
910	0
911	5
912	1
913	1
914	0
915	0
916	0
917	2
918	1
919	0
920	4
921	0
922	1
923	1
924	1
925	0
926	0
927	2
928	0
929	3
930	0
931	5
932	1
933	0
934	3
935	0
936	4
937	2
938	0
939	0
940	0
941	0
942	0
943	1
944	1
945	0
946	0
947	0
948	1
949	9
950	1
951	0
952	1
953	0
954	0
955	2
956	1
957	1
958	2
959	2
960	2
961	2
962	2
963	0
964	0
965	1
966	6
967	0
968	1
969	0
970	1
971	4
972	1
973	4
974	4
975	1
976	6
977	0
978	2
979	0
980	7
981	4
982	14
983	1
984	1
985	3
986	1
987	1
988	1
