coverage	n
1	1445
2	1692
3	521
4	728
5	777
6	974
7	608
8	893
9	797
10	617
11	759
12	723
13	657
14	766
15	819
16	571
17	558
18	677
19	557
20	567
21	780
22	582
23	932
24	705
25	666
26	813
27	923
28	875
29	999
30	1041
31	1217
32	1505
33	1781
34	2011
35	2496
36	3048
37	3436
38	4495
39	5718
40	7350
41	9339
42	11818
43	14457
44	18553
45	22412
46	27557
47	32941
48	38738
49	45498
50	53978
51	61215
52	70252
53	78928
54	88773
55	99142
56	108260
57	118342
58	127679
59	136804
60	145496
61	151509
62	158662
63	161787
64	166104
65	168924
66	169757
67	170316
68	168230
69	164110
70	159973
71	153392
72	146170
73	137411
74	130589
75	121030
76	112701
77	102522
78	93633
79	85192
80	76698
81	67845
82	59531
83	52929
84	46131
85	39954
86	35162
87	30396
88	25774
89	21525
90	18351
91	15362
92	12702
93	10678
94	8639
95	7234
96	6036
97	4663
98	3659
99	3098
100	2517
101	2020
102	1535
103	1172
104	958
105	704
106	666
107	460
108	458
109	320
110	294
111	266
112	203
113	149
114	132
115	138
116	147
117	154
118	135
119	123
120	170
121	117
122	121
123	123
124	140
125	148
126	142
127	170
128	163
129	167
130	149
131	194
132	172
133	209
134	185
135	177
136	190
137	128
138	137
139	117
140	128
141	120
142	78
143	76
144	70
145	73
146	77
147	61
148	41
149	41
150	40
151	49
152	42
153	42
154	50
155	41
156	34
157	36
158	34
159	35
160	27
161	33
162	18
163	12
164	7
165	8
166	6
167	4
168	5
169	1
170	1
171	2
172	3
173	7
174	13
175	7
176	7
177	10
178	19
179	7
180	3
181	8
182	13
183	3
184	6
185	6
186	3
187	1
188	3
189	4
190	10
191	11
192	9
193	5
194	4
195	1
196	1
