coverage	n
1	11588
2	7598
3	731
4	450
5	197
6	294
7	258
8	237
9	267
10	425
11	598
12	257
13	497
14	377
15	369
16	372
17	269
18	295
19	375
20	384
21	309
22	415
23	370
24	325
25	465
26	491
27	527
28	419
29	413
30	567
31	763
32	773
33	847
34	870
35	1156
36	1436
37	1725
38	2256
39	2571
40	3289
41	4116
42	5452
43	6178
44	7878
45	9887
46	11905
47	15214
48	18510
49	22104
50	25826
51	30646
52	36356
53	41566
54	48298
55	55150
56	63006
57	71310
58	80000
59	88941
60	97897
61	107585
62	115485
63	123410
64	130931
65	137921
66	144416
67	149948
68	154418
69	155228
70	157702
71	158633
72	159405
73	157174
74	153837
75	151310
76	145969
77	140229
78	133574
79	126272
80	119444
81	111389
82	102595
83	94417
84	86137
85	79212
86	71477
87	65356
88	58813
89	52261
90	45782
91	40800
92	35614
93	31560
94	27223
95	23376
96	20084
97	16807
98	14170
99	11550
100	9819
101	8374
102	7056
103	5879
104	4921
105	3979
106	3278
107	2665
108	2186
109	1566
110	1311
111	1069
112	800
113	718
114	527
115	437
116	304
117	263
118	252
119	205
120	153
121	116
122	97
123	103
124	66
125	64
126	51
127	54
128	53
129	45
130	38
131	43
132	47
133	28
134	40
135	33
136	40
137	36
138	39
139	28
140	25
141	25
142	12
143	16
144	16
145	17
146	22
147	21
148	30
149	21
150	17
151	13
152	15
153	23
154	20
155	16
156	9
157	13
158	13
159	13
160	14
161	22
162	16
163	14
164	20
165	17
166	6
167	7
168	4
169	1
170	4
171	12
172	7
173	4
174	4
175	6
176	2
177	0
178	3
179	2
180	1
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	1
194	1
195	0
196	1
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	1
210	0
211	0
212	0
213	4
214	4
215	3
216	6
217	0
218	2
219	3
220	5
221	1
222	1
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	1
244	0
245	0
246	1
247	2
