coverage	n
1	2612
2	1587
3	693
4	512
5	499
6	546
7	725
8	750
9	737
10	557
11	795
12	698
13	854
14	685
15	685
16	599
17	622
18	516
19	536
20	679
21	664
22	821
23	739
24	919
25	760
26	1086
27	948
28	1092
29	1193
30	1402
31	1482
32	1709
33	1967
34	2463
35	3146
36	3453
37	4173
38	5397
39	7161
40	8918
41	11557
42	14633
43	17993
44	22429
45	26553
46	32123
47	38754
48	45951
49	54557
50	62722
51	73085
52	81676
53	92601
54	102790
55	113482
56	123944
57	134081
58	142674
59	148739
60	157410
61	162470
62	168298
63	171379
64	173157
65	173558
66	172539
67	167473
68	161561
69	159250
70	151877
71	145608
72	136680
73	127338
74	118483
75	109047
76	98424
77	89598
78	81284
79	73363
80	65287
81	58227
82	50996
83	45070
84	38229
85	32958
86	27840
87	23822
88	19876
89	16579
90	14152
91	11659
92	9414
93	7911
94	6645
95	5316
96	4110
97	3356
98	2756
99	2233
100	1751
101	1508
102	1216
103	976
104	683
105	506
106	449
107	335
108	288
109	265
110	164
111	157
112	126
113	142
114	97
115	95
116	87
117	87
118	103
119	113
120	83
121	96
122	99
123	112
124	106
125	124
126	113
127	114
128	104
129	88
130	86
131	102
132	124
133	108
134	132
135	145
136	137
137	129
138	97
139	91
140	81
141	81
142	78
143	89
144	82
145	74
146	51
147	61
148	58
149	69
150	63
151	57
152	51
153	38
154	43
155	50
156	39
157	54
158	50
159	31
160	19
161	37
162	33
163	35
164	35
165	43
166	26
167	35
168	27
169	30
170	17
171	11
172	14
173	5
174	7
175	4
176	3
177	7
178	4
179	3
180	3
181	3
182	2
