coverage	n
1	3210
2	1555
3	552
4	850
5	793
6	795
7	819
8	474
9	729
10	649
11	685
12	506
13	579
14	654
15	633
16	913
17	794
18	739
19	818
20	971
21	1132
22	1334
23	1431
24	2095
25	2494
26	3078
27	4132
28	5439
29	6683
30	9032
31	10935
32	13960
33	18329
34	23785
35	29528
36	36632
37	44882
38	53263
39	63549
40	74896
41	86100
42	97903
43	109456
44	122183
45	132581
46	144544
47	155642
48	165053
49	173091
50	178917
51	182163
52	182943
53	183412
54	180734
55	177419
56	171600
57	166291
58	159282
59	151354
60	142047
61	133356
62	123628
63	113294
64	101752
65	91403
66	82168
67	72489
68	63070
69	55042
70	48449
71	41308
72	34991
73	29415
74	24712
75	21000
76	17002
77	14024
78	11589
79	9172
80	7339
81	5987
82	4670
83	3614
84	3083
85	2457
86	1788
87	1531
88	1146
89	874
90	698
91	477
92	442
93	333
94	314
95	364
96	308
97	224
98	171
99	150
100	138
101	145
102	141
103	116
104	113
105	95
106	102
107	126
108	116
109	105
110	149
111	126
112	133
113	158
114	158
115	157
116	161
117	130
118	135
119	101
120	101
121	95
122	96
123	81
124	70
125	91
126	76
127	43
128	55
129	47
130	48
131	23
132	14
133	17
134	24
135	24
136	23
137	33
138	30
139	30
140	41
141	29
142	14
143	13
144	15
145	6
146	3
147	3
148	12
149	1
150	5
151	14
152	5
153	9
154	6
155	7
156	4
157	13
158	4
159	2
160	2
161	2
162	5
163	8
164	20
165	6
166	18
167	3
168	17
169	15
170	5
171	14
172	3
173	4
174	4
175	3
176	6
177	5
178	6
179	6
180	13
181	6
182	18
183	3
184	14
185	10
186	4
187	7
188	4
189	6
190	1
191	2
192	2
193	3
194	2
195	1
196	6
197	3
198	8
199	7
200	2
201	2
202	2
203	1
204	0
205	0
206	1
207	2
208	0
209	1
210	2
211	3
212	3
213	2
214	1
215	8
216	3
217	3
218	1
219	1
220	0
221	2
222	0
223	1
224	2
225	0
226	1
