coverage	n
1	1852
2	809
3	640
4	594
5	837
6	678
7	763
8	774
9	1261
10	885
11	745
12	823
13	883
14	710
15	865
16	1027
17	1187
18	1398
19	1536
20	1646
21	1991
22	2553
23	3162
24	3629
25	4382
26	5612
27	7082
28	8859
29	10967
30	13783
31	17208
32	21900
33	27338
34	33607
35	40345
36	49375
37	59299
38	69765
39	82270
40	94690
41	108494
42	120389
43	132633
44	146794
45	157269
46	167670
47	176203
48	183856
49	189394
50	192745
51	194989
52	193087
53	189742
54	183341
55	175746
56	168937
57	159504
58	149040
59	138509
60	124390
61	111979
62	99815
63	87405
64	77469
65	67219
66	58307
67	49400
68	42152
69	35571
70	29690
71	24744
72	19892
73	15924
74	12987
75	10235
76	8032
77	6434
78	4938
79	3991
80	2976
81	2269
82	1724
83	1455
84	1119
85	881
86	637
87	592
88	445
89	425
90	361
91	272
92	261
93	276
94	250
95	212
96	255
97	267
98	246
99	209
100	169
101	167
102	181
103	152
104	150
105	140
106	153
107	141
108	131
109	101
110	83
111	84
112	64
113	59
114	77
115	55
116	45
117	54
118	50
119	58
120	49
121	29
122	44
123	16
124	8
125	15
126	24
127	22
128	16
129	10
130	0
131	4
132	5
133	2
134	8
135	16
136	7
137	6
138	8
139	9
140	4
141	0
142	2
143	11
144	6
145	0
146	3
147	2
148	5
149	5
150	3
151	3
152	6
153	4
154	2
155	3
156	5
157	7
158	2
159	2
160	15
161	1
162	3
163	7
164	16
165	5
166	19
167	17
168	22
169	2
170	5
171	2
172	2
173	11
174	10
175	9
176	4
177	2
178	2
179	5
180	3
181	2
182	4
183	1
184	3
185	4
186	5
187	2
188	0
189	0
190	2
191	1
192	0
193	4
194	0
195	2
196	1
197	0
198	1
199	0
200	1
201	1
202	4
203	3
204	6
205	2
206	0
207	1
208	2
209	4
210	4
211	0
212	3
213	5
214	3
215	1
216	1
217	6
218	1
219	2
220	2
221	5
222	2
223	1
224	2
225	5
226	2
227	1
