coverage	n
1	2666
2	1960
3	484
4	124
5	424
6	334
7	217
8	302
9	298
10	314
11	308
12	484
13	506
14	529
15	391
16	590
17	504
18	422
19	324
20	440
21	378
22	460
23	356
24	411
25	451
26	421
27	302
28	478
29	326
30	396
31	463
32	480
33	469
34	383
35	401
36	385
37	398
38	453
39	450
40	543
41	507
42	613
43	426
44	492
45	612
46	499
47	586
48	532
49	447
50	575
51	495
52	567
53	526
54	519
55	642
56	607
57	684
58	535
59	664
60	682
61	750
62	865
63	859
64	885
65	973
66	1068
67	1172
68	1203
69	1188
70	1486
71	1427
72	1612
73	1683
74	1922
75	2263
76	2420
77	2629
78	3066
79	3432
80	3886
81	4477
82	5155
83	6059
84	6990
85	8109
86	8672
87	10374
88	12033
89	13900
90	15782
91	17823
92	20161
93	22963
94	25796
95	28782
96	32478
97	36907
98	41325
99	44771
100	49301
101	53541
102	58551
103	63298
104	69026
105	73562
106	79293
107	84073
108	89057
109	94437
110	99161
111	103967
112	107937
113	111740
114	115222
115	117788
116	120450
117	122000
118	122466
119	123884
120	124197
121	123158
122	123085
123	121155
124	119769
125	116827
126	113485
127	109270
128	105040
129	101248
130	96511
131	92346
132	86929
133	82838
134	77654
135	72170
136	67510
137	62571
138	58131
139	53909
140	49388
141	44373
142	40608
143	37109
144	33291
145	29779
146	26596
147	23605
148	20876
149	18340
150	16273
151	14459
152	12614
153	11076
154	9612
155	8239
156	7072
157	5797
158	5299
159	4309
160	3717
161	3140
162	2631
163	2182
164	1876
165	1572
166	1449
167	1103
168	933
169	706
170	580
171	480
172	411
173	306
174	251
175	233
176	155
177	143
178	106
179	98
180	75
181	64
182	56
183	46
184	88
185	67
186	50
187	59
188	59
189	61
190	58
191	50
192	51
193	47
194	43
195	52
196	57
197	52
198	60
199	65
200	69
201	74
202	71
203	90
204	83
205	69
206	59
207	71
208	56
209	60
210	71
211	53
212	69
213	82
214	85
215	74
216	92
217	102
218	74
219	80
220	73
221	78
222	77
223	74
224	62
225	85
226	99
227	107
228	94
229	95
230	97
231	76
232	93
233	87
234	67
235	102
236	99
237	92
238	93
239	92
240	109
241	96
242	91
243	73
244	66
245	87
246	88
247	80
248	78
249	63
250	72
251	85
252	100
253	76
254	62
255	73
256	83
257	73
258	64
259	64
260	66
261	59
262	67
263	51
264	58
265	48
266	47
267	47
268	34
269	33
270	31
271	18
272	19
273	16
274	12
275	17
276	10
277	20
278	16
279	11
280	15
281	14
282	9
283	5
284	9
285	1
286	3
287	4
288	3
289	0
290	5
291	2
292	2
293	3
294	5
295	2
296	3
297	0
298	2
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	2
323	2
324	1
325	2
326	1
327	0
328	3
329	0
330	0
331	1
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	1
340	1
341	0
342	0
343	0
344	0
345	0
346	1
347	0
348	3
349	2
350	1
351	0
352	1
353	2
354	1
