coverage	n
1	80
2	47
3	15
4	32
5	52
6	105
7	56
8	21
9	57
10	106
11	108
12	45
13	69
14	109
15	127
16	114
17	89
18	102
19	145
20	134
21	190
22	153
23	163
24	184
25	124
26	158
27	141
28	169
29	217
30	271
31	186
32	206
33	220
34	304
35	307
36	361
37	391
38	499
39	532
40	646
41	715
42	847
43	1037
44	1236
45	1427
46	1820
47	2185
48	2632
49	3021
50	3577
51	4383
52	5198
53	6444
54	7918
55	9616
56	11827
57	13923
58	16585
59	19505
60	23498
61	28235
62	33175
63	38815
64	44372
65	50710
66	57757
67	64848
68	71408
69	80051
70	87874
71	96466
72	104549
73	111441
74	118874
75	125729
76	132512
77	137743
78	143752
79	147740
80	150602
81	152353
82	155442
83	156185
84	155656
85	155136
86	153510
87	149069
88	146115
89	141808
90	135280
91	129965
92	123652
93	116664
94	110648
95	103196
96	96752
97	89838
98	81731
99	74694
100	68550
101	61446
102	55670
103	49892
104	44434
105	39299
106	35084
107	30356
108	27202
109	23438
110	20325
111	17541
112	15271
113	12973
114	10962
115	9477
116	7874
117	6442
118	5544
119	4581
120	3732
121	3025
122	2460
123	2055
124	1622
125	1279
126	1005
127	778
128	620
129	488
130	411
131	330
132	272
133	218
134	172
135	140
136	110
137	99
138	64
139	59
140	34
141	30
142	17
143	19
144	7
145	9
146	6
147	18
148	13
149	9
150	6
151	8
152	7
153	10
154	13
155	17
156	10
157	27
158	25
159	16
160	17
161	23
162	16
163	25
164	25
165	21
166	21
167	12
168	11
169	14
170	25
171	15
172	9
173	21
174	25
175	25
176	21
177	8
178	14
179	11
180	21
181	13
182	12
183	11
184	13
185	19
186	8
187	15
188	16
189	13
190	17
191	19
192	13
193	25
194	19
195	10
196	15
197	13
198	13
199	9
200	10
201	16
202	12
203	8
204	12
205	16
206	14
207	7
208	13
209	9
210	15
211	17
212	12
213	8
214	11
215	10
216	10
217	3
218	3
219	5
220	4
221	7
222	8
223	8
224	5
225	3
226	8
227	1
228	4
229	6
230	5
231	2
232	2
233	6
234	9
235	4
236	6
237	3
238	3
239	4
240	3
241	2
242	1
243	2
244	1
245	2
246	2
247	2
248	2
249	2
250	3
251	7
252	4
253	2
254	5
255	2
256	3
257	3
258	3
259	6
260	7
261	4
262	5
263	1
264	2
265	1
266	4
267	5
268	6
269	3
270	2
271	3
272	13
273	12
274	3
275	2
276	3
277	7
278	6
279	9
280	9
281	6
282	1
283	0
284	1
285	2
286	0
287	0
288	0
289	0
290	0
291	0
292	1
293	0
294	0
295	1
296	0
297	3
298	0
299	0
300	2
301	0
302	0
303	1
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	1
312	0
313	0
314	3
315	1
316	0
317	1
318	0
319	1
320	0
321	0
322	0
323	0
324	0
325	0
326	1
327	0
328	1
329	0
330	1
331	1
332	0
333	1
334	0
335	1
336	0
337	0
338	0
339	1
340	0
341	1
342	1
343	0
344	0
345	0
346	0
347	3
348	3
349	1
350	0
351	0
352	0
353	0
354	2
355	0
356	2
357	3
358	0
359	0
360	0
361	0
362	0
363	1
364	0
365	0
366	1
367	0
368	1
369	2
370	2
371	0
372	3
373	1
374	2
375	0
376	0
377	3
378	0
379	2
380	0
381	0
382	1
383	0
384	2
385	0
386	2
387	1
388	6
389	5
390	3
391	0
392	0
393	0
394	0
395	0
396	0
397	3
398	1
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	1
415	1
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	0
429	0
430	0
431	0
432	1
433	1
434	6
435	3
436	0
437	0
438	0
439	1
440	0
441	0
442	0
443	2
444	1
445	0
446	1
447	1
448	0
449	0
450	6
451	1
452	0
453	0
454	0
455	1
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	4
465	0
466	0
467	0
468	1
469	0
470	0
471	2
472	0
473	0
474	2
475	0
476	0
477	1
478	1
479	3
480	2
481	0
482	1
483	0
484	0
485	2
486	0
487	0
488	1
489	0
490	0
491	1
492	0
493	0
494	1
495	4
496	2
497	1
498	1
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	2
508	0
509	0
510	0
511	1
512	0
513	1
514	0
515	0
516	0
517	2
518	2
519	1
520	0
521	1
522	0
523	1
524	1
525	2
526	2
527	0
528	1
529	0
530	0
531	2
532	4
533	5
534	0
535	1
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	1
551	1
552	4
553	1
554	1
555	0
556	0
557	1
558	1
559	2
560	0
561	0
562	0
563	1
564	0
565	2
566	0
567	0
568	2
569	0
570	1
571	2
