coverage	n
1	2037
2	1162
3	142
4	331
5	103
6	276
7	154
8	388
9	458
10	282
11	218
12	426
13	413
14	248
15	364
16	269
17	433
18	563
19	337
20	306
21	308
22	332
23	338
24	413
25	342
26	212
27	287
28	293
29	374
30	319
31	350
32	301
33	348
34	330
35	361
36	460
37	518
38	512
39	426
40	445
41	504
42	428
43	516
44	644
45	649
46	677
47	700
48	805
49	873
50	874
51	940
52	1080
53	1098
54	1190
55	1156
56	1297
57	1361
58	1556
59	1692
60	1922
61	2151
62	2452
63	2805
64	3552
65	4137
66	4596
67	5613
68	6654
69	7587
70	8623
71	10008
72	12020
73	14206
74	16700
75	19287
76	22252
77	25163
78	29241
79	32845
80	37472
81	42036
82	47748
83	53082
84	58753
85	64205
86	70179
87	76249
88	81814
89	88934
90	95254
91	100894
92	106592
93	112156
94	118314
95	121950
96	125582
97	127352
98	130413
99	133638
100	134045
101	135269
102	133954
103	132439
104	130412
105	128874
106	125593
107	122943
108	119135
109	114682
110	109823
111	104710
112	99536
113	93911
114	88418
115	82499
116	77324
117	71477
118	66088
119	60972
120	56641
121	51568
122	46719
123	42974
124	38457
125	34354
126	30715
127	27524
128	24098
129	21293
130	19003
131	16388
132	14560
133	12724
134	10810
135	9309
136	8179
137	7140
138	5863
139	5083
140	4154
141	3432
142	3091
143	2625
144	2166
145	1749
146	1372
147	1198
148	1000
149	801
150	695
151	564
152	504
153	425
154	333
155	244
156	214
157	208
158	150
159	134
160	107
161	106
162	80
163	110
164	87
165	74
166	56
167	57
168	67
169	63
170	78
171	80
172	60
173	71
174	72
175	56
176	72
177	73
178	58
179	64
180	48
181	89
182	84
183	73
184	88
185	100
186	87
187	85
188	65
189	55
190	78
191	91
192	108
193	97
194	85
195	69
196	107
197	81
198	59
199	68
200	64
201	66
202	51
203	36
204	45
205	40
206	28
207	35
208	31
209	30
210	41
211	34
212	32
213	28
214	36
215	27
216	22
217	33
218	34
219	26
220	27
221	26
222	16
223	27
224	27
225	26
226	30
227	20
228	25
229	12
230	14
231	10
232	18
233	9
234	9
235	6
236	0
237	2
238	7
239	6
240	4
241	4
242	3
243	2
244	8
245	4
246	5
247	3
248	6
249	1
250	2
251	2
252	3
253	2
254	1
255	0
256	0
257	1
258	0
259	0
260	0
261	0
262	0
263	0
264	3
265	0
266	1
267	1
268	0
269	0
270	0
271	0
272	0
273	1
274	0
275	0
276	0
277	0
278	0
279	0
280	2
281	0
282	0
283	4
284	1
285	0
286	1
287	0
288	4
289	0
290	1
291	6
292	1
293	4
294	4
295	2
296	0
297	2
298	0
299	0
300	0
301	0
302	1
303	1
304	1
305	2
306	1
307	2
308	1
309	1
310	0
311	2
312	3
313	2
314	1
315	1
316	0
317	0
318	0
319	0
320	2
321	0
322	1
323	1
324	4
325	0
326	3
327	0
328	1
329	1
330	0
331	2
332	0
333	1
