coverage	n
1	4151
2	2160
3	763
4	880
5	942
6	674
7	560
8	733
9	586
10	1082
11	751
12	778
13	850
14	1009
15	732
16	862
17	893
18	1107
19	842
20	849
21	822
22	916
23	911
24	1076
25	993
26	1120
27	1147
28	1216
29	1334
30	1737
31	1961
32	2113
33	2627
34	3174
35	3704
36	4544
37	5706
38	7136
39	8766
40	10706
41	13821
42	16380
43	19588
44	23477
45	27961
46	33659
47	40161
48	47613
49	56038
50	65016
51	74466
52	84300
53	93814
54	103294
55	113393
56	124832
57	132763
58	141685
59	149573
60	157283
61	163413
62	166688
63	168722
64	170238
65	169535
66	168218
67	163981
68	160073
69	156367
70	148604
71	141031
72	132746
73	125265
74	116568
75	108294
76	98731
77	88944
78	79673
79	71370
80	63905
81	56217
82	48333
83	41354
84	36173
85	30442
86	26469
87	22503
88	18285
89	15321
90	12361
91	10501
92	8257
93	6860
94	5322
95	4494
96	3524
97	2888
98	2220
99	1833
100	1437
101	1036
102	978
103	715
104	578
105	503
106	419
107	319
108	239
109	190
110	154
111	110
112	108
113	90
114	90
115	99
116	91
117	91
118	65
119	73
120	54
121	66
122	53
123	45
124	69
125	60
126	51
127	43
128	47
129	57
130	64
131	56
132	58
133	67
134	69
135	54
136	38
137	34
138	43
139	20
140	24
141	18
142	19
143	17
144	38
145	45
146	48
147	67
148	46
149	53
150	38
151	37
152	51
153	34
154	25
155	30
156	33
157	27
158	23
159	17
160	16
161	13
162	12
163	17
164	29
165	23
166	9
167	12
168	12
169	11
170	21
171	11
172	9
173	18
174	17
175	15
176	20
177	4
178	23
179	19
180	16
181	17
182	12
183	26
184	56
185	50
186	57
187	54
188	66
189	80
190	61
191	67
192	64
193	60
194	47
195	57
196	67
197	68
198	71
199	92
200	90
201	92
202	91
203	116
204	113
205	95
206	99
207	130
208	97
209	82
210	97
211	76
212	79
213	87
214	67
215	55
216	44
217	45
218	58
219	44
220	53
221	67
222	57
223	50
224	47
225	42
226	50
227	48
228	68
229	55
230	65
231	67
232	74
233	85
234	89
235	89
236	76
237	77
238	97
239	111
240	95
241	99
242	117
243	101
244	133
245	128
246	145
247	142
248	121
249	130
250	165
251	135
252	159
253	144
254	152
255	127
256	173
257	156
258	205
259	188
260	208
261	239
262	202
263	193
264	187
265	169
266	196
267	170
268	169
269	202
270	171
271	207
272	174
273	195
274	183
275	171
276	178
277	181
278	176
279	141
280	146
281	139
282	123
283	143
284	122
285	116
286	113
287	93
288	96
289	91
290	101
291	98
292	111
293	127
294	109
295	115
296	101
297	117
298	107
299	102
300	131
301	117
302	101
303	102
304	83
305	84
306	78
307	75
308	77
309	98
310	73
311	81
312	80
